N,P,K,Soil_pH,Temperature,Humidity,Rainfall,Crop_Type,Season_Kharif,Season_Rabi,Season_Zaid,Soil_Texture_Clay,Soil_Texture_Loamy,Soil_Texture_Sandy,Soil_Texture_Silt,Region_Central,Region_East,Region_North,Region_South,Region_West,Soil_Type_Alluvial Soil,Soil_Type_Black Soil,Soil_Type_Black Soil ,Soil_Type_Desert Soil,Soil_Type_Red Soil
94,53,40,6.81,23.33,74.93,1234.51,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
32,15,126,7.58,14.61,62.65,2310.92,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
30,91,58,6.51,25.05,32.02,2506.23,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
38,74,29,7.38,15.83,31.79,2553.94,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
162,22,40,4.99,31.09,82.41,2318.16,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
172,23,103,8.17,22.13,63.38,2481.98,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
94,81,49,5.32,32.94,57.07,2799.26,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
75,29,131,6.57,10.5,82.47,513.99,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
155,95,52,5.18,28.9,84.16,2325.34,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
147,39,54,6.61,12.47,36.48,777.05,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
115,92,119,5.53,39.69,79.95,754.47,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
142,92,24,7.15,28.14,49.99,804.47,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
124,39,75,7.02,29.8,70.14,2172.45,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
130,35,24,6.2,12.99,61.27,2619.96,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
161,27,108,6.8,35.03,70.73,1305.39,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
137,33,37,4.83,17.31,50.98,673.22,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
75,17,56,5.44,17.01,55.32,1632.85,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
126,59,138,6.66,38.52,66.54,392.03,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
68,72,74,6.82,36.08,47.2,2057.62,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
42,16,148,7.21,38.81,85.14,445.24,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
131,38,137,5.68,20.75,39.76,1975.82,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
151,37,126,6.53,35.47,51.59,807.16,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
109,38,79,6.63,22.63,46.68,916.39,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
149,50,138,5.01,37.08,58.57,1133.8,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
118,81,35,6.45,14.48,66.18,1342.69,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
46,24,149,6.74,21.34,51.86,625.75,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
154,98,30,5.24,16.84,41.56,1436.71,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
144,56,43,7.82,20.62,62.24,1074.26,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
138,32,102,7.43,34.44,87.6,401.69,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
74,20,70,6.69,18.68,48.55,871.46,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
132,49,102,7.49,10.9,40.85,1183.87,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
83,28,113,7.58,18.95,32.82,1520.43,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
48,76,55,6.56,37.29,59.83,2772.31,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
154,58,147,7.21,22.3,73.52,2119.28,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
74,18,79,7.48,27.69,60.39,1404.25,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
96,47,81,7.61,27.53,78.45,2154.3,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
76,77,103,7.13,23.49,54.73,899.1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
151,41,72,6.06,30.16,59.08,1508.42,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
44,92,81,5.47,11.46,59.47,2631.48,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
65,76,117,5.92,38.3,68.62,510.14,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
80,61,126,7.93,12.48,74.24,771.09,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
75,33,86,7.19,38.42,37.86,2423.07,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
68,78,77,6.07,33.05,62.97,1361.13,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
32,38,85,5.47,37.45,76.08,2176.99,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
86,35,90,8.09,28.18,78.3,1385.38,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
48,69,117,6.13,21.23,35.73,2269.97,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
110,90,133,7.1,26.0,83.04,1751.11,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
140,77,89,7.09,28.29,45.98,401.46,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
80,16,67,4.94,26.41,86.57,2091.74,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
101,67,45,7.28,25.53,69.71,887.13,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
134,84,127,6.13,39.57,33.16,2079.55,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
156,63,68,6.96,29.14,36.37,460.22,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
166,41,56,6.09,26.26,88.05,2308.28,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
154,86,43,6.58,28.46,72.91,1608.47,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
100,20,94,8.13,26.91,82.42,1399.96,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
176,30,61,5.3,18.23,75.51,1515.9,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
61,51,75,6.99,18.52,40.35,2565.91,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
60,28,89,6.04,24.67,82.86,2731.42,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
176,87,91,5.55,39.41,46.99,2679.81,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
167,28,105,7.13,24.26,38.53,357.72,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
121,95,141,6.55,30.11,33.98,2725.05,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
61,89,68,5.55,20.05,76.83,759.11,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
163,62,85,5.87,16.77,64.22,1635.86,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
63,24,101,7.5,11.96,31.49,789.46,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
133,94,59,6.94,19.59,51.32,1024.13,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
37,37,94,8.13,35.71,34.0,646.12,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
92,73,89,5.14,19.46,84.0,1652.82,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
144,61,27,5.18,33.51,87.58,2243.89,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
82,95,124,4.8,29.88,58.11,1690.39,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
170,98,39,7.99,39.59,35.07,601.82,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
